Track Name,Popularity
Into the Sun , 49
On Fire , 39
Thằng Điên , 62
Happy For You , 59
Flower , 63
Just Look Up (From Don’t Look Up) , 66
Falling , 58
Savannah , 58
Babel , 59
Be Okay , 59
There Is No Wonderwall , 58
everything i wanted , 86
IDGAF (with blackbear) , 76
Roses , 57
Blue Boi , 58
Feels Like You , 63
CASA , 66
Come True , 59
colorblind , 68
Time After Time , 63
Just the Two of Us , 62
Torn , 68
Control , 58
Và Ngày Nào Đó , 58
Lofi Rain , 62
What Happened to Us , 56
Pensando a lei , 66
Holiday , 62
Better Days , 59
telepatía , 85
Here’s Your Perfect (with salem ilese) , 67
Stay Yours , 56
Zero Calorie Cookie , 56
Vibez , 65
Cảm Nắng , 56
Seguro Te Pierdo , 64
Take Me Home , 65
comethru (with Bea Miller) , 65
vaicaunoicokhiennguoithaydoi , 68
5 feet away , 62
Sunflower - Spider-Man: Into the Spider-Verse , 83
The Way You Felt , 63
Ale jazz! , 59
Lost in Space , 59
Too Good At Goodbyes , 85
Automatic (feat. Jake Miller) , 65
The Girl Who Fell from the Sky , 59
Older , 62
Tay To , 59
Memories Remix (feat. Nipsey Hussle & YG) , 78
