Track Name; Popularity
Señorita ; 82
Perfect ; 80
Bloody Mary ; 78
Levitating ; 84
Alone, Pt. II ; 74
Hymn for the Weekend ; 85
Bad Blood ; 79
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) ; 75
Stereo Hearts (feat. Adam Levine) ; 83
Treat You Better ; 86
One Last Time ; 54
Symphony (feat. Zara Larsson) ; 77
Faded ; 80
FRIENDS ; 79
Let Me Love You ; 85
I'm a Mess ; 74
Into Your Arms (feat. Ava Max) ; 75
Kings & Queens ; 82
STAY (with Justin Bieber) ; 86
There's Nothing Holdin' Me Back ; 88
Unstoppable ; 83
Harleys In Hawaii ; 77
good 4 u ; 87
Don't Let Me Down (feat. Daya) ; 45
Unholy (feat. Kim Petras) ; 87
Trampoline (with ZAYN) ; 69
My Oh My (feat. DaBaby) ; 76
Alone ; 76
Cake By The Ocean ; 82
Dark Horse ; 81
Wild ; 52
Call Me Maybe ; 82
Oops!...I Did It Again ; 80
Savage ; 64
Queen ; 63
Build a Bitch ; 75
Lily ; 75
Criminal ; 73
The Middle ; 81
positions ; 84
Pretty Girl ; 66
Worth It ; 39
Chameleon ; 53
We Found Love ; 63
Your Love - Radio Edit ; 51
On The Floor ; 80
Cheap Thrills (feat. Sean Paul) ; 74
Scared to Be Lonely ; 79
Break My Heart Myself (feat. Travis Barker) ; 66
Don't Start Now ; 83
